NUM,LOCATION,X,Y
1123059000,서울특별시 동대문구 전농제4동,961320,1953576
1123060000,서울특별시 동대문구 답십리제1동,960479,1952438
1123061000,서울특별시 동대문구 답십리제2동,961211,1952360
1123062000,서울특별시 동대문구 답십리제3동,960479,1952438
1123063000,서울특별시 동대문구 답십리제4동,961211,1952360
1123064000,서울특별시 동대문구 답십리제5동,960479,1952438
1123065000,서울특별시 동대문구 장안제1동,961899,1951948
1123066000,서울특별시 동대문구 장안제2동,962283,1952927
1123067000,서울특별시 동대문구 장안제3동,962169,1951943
1123068000,서울특별시 동대문구 장안제4동,962283,1952927
1123069000,서울특별시 동대문구 청량리제1동,959911,1954440
1123070000,서울특별시 동대문구 청량리제2동,959911,1954440
1123070500,서울특별시 동대문구 청량리동,959911,1954440
1123071000,서울특별시 동대문구 회기동,960364,1955099
1123072000,서울특별시 동대문구 휘경제1동,961312,1954757
1123073000,서울특별시 동대문구 휘경제2동,961487,1954245
1123074000,서울특별시 동대문구 이문제1동,961311,1955421
1123075000,서울특별시 동대문구 이문제2동,961759,1956088
1123076000,서울특별시 동대문구 이문제3동,961759,1956088
1126051000,서울특별시 중랑구 면목제1동,963734,1954473
1126052000,서울특별시 중랑구 면목제2동,962729,1954501
1126053000,서울특별시 중랑구 면목제3동,964079,1953667
1126054000,서울특별시 중랑구 면목제4동,963432,1952761
1126055000,서울특별시 중랑구 면목제5동,962921,1953726
1126056000,서울특별시 중랑구 면목제6동,963734,1954473
1126056500,서울특별시 중랑구 면목본동,963734,1954473
1126057000,서울특별시 중랑구 면목제7동,964243,1953043
1126057100,서울특별시 중랑구 면목제8동,964729,1954002
1126057500,서울특별시 중랑구 면목제3.8동,964729,1954002
1126058000,서울특별시 중랑구 상봉제1동,963806,1955971
1126059000,서울특별시 중랑구 상봉제2동,963438,1955096
1126060000,서울특별시 중랑구 중화제1동,963154,1955997
1126061000,서울특별시 중랑구 중화제2동,962516,1955584
1126061100,서울특별시 중랑구 중화제3동,962516,1955584
